identifier,trip_id,speed_avg,speed_urban_avg,speed_highway_avg,speed_rural_avg,acc_avg,acc_urban,acc_highway,acc_rural,duration,duration_urban,duration_highway,duration_rural,duration_driving,duration_driving_urban,duration_driving_highway,duration_driving_rural,distance_total,distance_urban,distance_highway,distance_rural,obd_fuel_consumption
ecodriver043,AE6FC35B-91DC-4E2E-995D-40364AE9A9F1,22.24397608611769,22.135095115152367,0.0,22.85538461538455,1.238139298602109,1.1430388561920315,0.0,1.7888372093023253,1056.0,842.0,0.0,214.0,516.0,438.0,0.0,78.0,2.9736883512277417,2.4362819375877858,0.0,0.5374064136399549,11.81528662420382
ecodriver043,B0BC9DBA-438A-4D50-B6D5-7894EAA5406D,27.17366514812372,27.327817591187195,0.0,23.60689655172411,1.551352117376738,1.528429371671404,0.0,1.8576000000000008,1181.0,1110.0,0.0,71.0,700.0,671.0,0.0,29.0,5.498943587015282,5.2427179855910575,0.0,0.2562256014242245,8.209089276091252
ecodriver043,B79BE600-6822-495A-AC7E-E6C42900F744,68.41029829545467,36.85993220338997,98.13292682926824,85.98089281562444,1.25587044534413,1.6704635761589404,1.0166666666666666,0.9616348773841972,1639.0,658.0,164.0,817.0,1536.0,590.0,164.0,782.0,29.10994529477908,6.111169917162429,4.465446252823332,18.53332912479326,5.151721786566656
ecodriver043,B99D41DD-8E69-41BF-857F-CB622FB507B9,30.04814108045084,30.40742196330753,0.0,27.01875000000001,1.4440506329113925,1.5061463414634149,0.0,1.0462500000000006,457.0,403.0,0.0,54.0,415.0,371.0,0.0,44.0,3.2273880257337577,3.0236655900361056,0.0,0.2037224356976511,9.294012511170688
ecodriver043,BE55E046-D006-4663-90B0-C11BBC233A7B,25.453137453562977,24.84054412277641,0.0,28.012602739726017,1.4233155080213908,1.3183892617449664,0.0,1.834736842105264,583.0,489.0,0.0,94.0,378.0,305.0,0.0,73.0,2.708590901961526,2.1370415716052507,0.0,0.5715493303562774,11.978417266187051
ecodriver043,C78584CE-53E4-4B5F-A870-98E0CAA9EA2A,87.11985334291884,47.51364705882355,119.79525547445265,62.72419273034665,1.2004998611496809,1.746229508196721,0.6753020134228193,1.9763962065331933,1102.0,354.0,548.0,200.0,1070.0,340.0,548.0,182.0,25.837738184396084,4.512306014575628,18.179793850785646,3.145638319034786,7.780607396708351
ecodriver043,C88F9002-FCFB-4CD4-9DF7-004FDE448BAE,21.21529506933743,20.77533146853146,0.0,23.30780487804876,1.1136562499999998,1.021859154929577,0.0,1.5683720930232563,741.0,636.0,0.0,105.0,472.0,390.0,0.0,82.0,2.833660435461515,2.282416603665464,0.0,0.5512438317960517,13.070814030443415
ecodriver043,CE35521A-FDC4-416D-B14B-9304DA69D7F1,114.8313226059654,37.18224852071008,128.40968944099373,61.34590909090903,1.1181818181818188,2.462307692307692,0.7399361022364225,3.236759410801963,844.0,85.0,644.0,115.0,784.0,52.0,644.0,88.0,24.90055989451977,0.5194952491595837,22.87778538516972,1.503279260190479,7.036948937519822
ecodriver043,D18AD899-AFA3-4532-9496-0C277D8B65DE,29.27952641102549,29.899995146166635,0.0,27.56993702377489,1.469675090252708,1.464513639626705,0.0,1.482843406593407,1358.0,912.0,0.0,446.0,1059.0,777.0,0.0,282.0,8.453953826881497,6.328414486326982,0.0,2.125539340554538,8.562901744719927
ecodriver043,D35AB843-F250-4442-8167-7023DDF19DFE,31.899309475218708,34.01890909090913,0.0,29.188193687707702,1.5957826384142175,1.4547820823244555,0.0,1.77861852433281,1035.0,550.0,0.0,485.0,784.0,440.0,0.0,344.0,6.889421900865123,4.118346812005228,0.0,2.7710750888599023,9.241672572643516
ecodriver043,DBB434B3-A001-47CC-9E69-D7FC742C275D,20.910241706113847,20.54474553677025,0.0,22.58648275862067,1.1360274725274724,1.1468973342447024,0.0,1.0914823529411766,844.0,741.0,0.0,103.0,486.0,399.0,0.0,87.0,2.841919711792423,2.320040156567955,0.0,0.5218795552244683,12.816072047107724
ecodriver043,DC073ED3-5F2B-4BE5-B8F7-FBC71B8C9346,32.84966326622734,33.377695364238434,0.0,31.26766233766234,1.7774063471353465,1.852913385826772,0.0,1.5627184236918172,1173.0,822.0,0.0,351.0,1007.0,755.0,0.0,252.0,9.02265124688416,6.884931400564885,0.0,2.137719846319289,8.552991359510008
ecodriver043,E4DC4593-BA6E-4F9C-9D12-4E103ED8306A,59.32375642213427,22.94551724137929,82.12963350785343,42.56267693789119,1.3076207630587855,0.9698452012383898,0.7632558139534894,2.1247557900756417,489.0,87.0,191.0,211.0,383.0,58.0,191.0,134.0,6.207769248605382,0.282910373178828,4.357074855090354,1.567784020336202,6.280413625304136
ecodriver043,E5DC5542-F2E9-412D-95C4-6E692209069A,33.74949323244883,34.659121265377884,0.0,31.781514712537685,1.5896696269468285,1.687346938775511,0.0,1.3888505382920555,1156.0,707.0,0.0,449.0,832.0,569.0,0.0,263.0,7.609484207272348,5.463449402316677,0.0,2.146034804955662,8.147107649086962
ecodriver043,E8EDE17F-2B56-44DA-A298-3F97D401BA01,32.22494505494504,27.64974358974357,0.0,45.95054945054942,1.7992727272727276,1.80375,0.0,1.7837837837837838,630.0,539.0,0.0,91.0,312.0,234.0,0.0,78.0,2.7665722800290573,1.814358890579574,0.0,0.952213389449482,11.758925646904684
ecodriver043,F5CF6ECA-2986-43A9-82E2-C2A4BA389D7D,106.66853284637376,46.56810003789332,132.22295247724995,66.59844827586232,1.1561311079679393,1.6454819933554814,0.9374537987679668,1.4867484662576689,3268.0,583.0,1978.0,707.0,3051.0,377.0,1978.0,696.0,90.31247602194529,4.976539857671126,72.55155898734183,12.784377176932386,8.549111801992815
ecodriver043,F7C4298A-EDDC-4CDE-9572-6032BE103772,21.24560686813188,20.82414883963495,0.0,24.27804878048779,1.0768579387186632,0.9943529411764708,0.0,1.553207547169812,773.0,686.0,0.0,87.0,672.0,590.0,0.0,82.0,3.9417809758135496,3.378061077603598,0.0,0.5637198982099508,8.140610545790933
ecodriver043,FC9A5E9D-5CB9-40EB-9E62-ABCD46D741DA,34.97927047198572,32.41537681739364,0.0,44.51375000000004,1.6932786885245903,1.7713333333333334,0.0,1.4737500000000006,554.0,458.0,0.0,96.0,453.0,357.0,0.0,96.0,4.341210648104704,3.146444224790034,0.0,1.1947664233146702,8.102205721773315
ecodriver043,1B9DEDA2-C988-434F-8235-A7CC8E49B269,33.68234641238653,37.15346780604135,0.0,27.408957581329297,1.692601433973554,2.057667737667737,0.0,1.0820227038183698,1182.0,668.0,0.0,514.0,845.0,544.0,0.0,301.0,7.686202336463797,5.600977076380823,0.0,2.0852252600829746,10.158127767235928
ecodriver043,438FF3E4-B6CF-48DE-BEFD-2F535560DC35,24.108886523312737,24.0574774378164,0.0,25.625454545454524,1.8389869410368025,1.828029556650246,0.0,2.132307692307693,1226.0,1201.0,0.0,25.0,671.0,649.0,0.0,22.0,4.649277819245653,4.476788284679546,0.0,0.1724895345661042,12.251941328731666
ecodriver043,5AC7DC10-24A9-4879-9FF0-2320B3BE07EC,89.06772956609503,47.38314893617031,112.58030769230788,65.9157894736844,1.1959281437125755,1.6917073170731705,0.7683168316831691,2.1104000000000003,1001.0,235.0,585.0,181.0,991.0,235.0,585.0,171.0,24.46377087853339,3.079058352231827,18.27600196655533,3.108710559746217,7.274762171236709
ecodriver043,74CE6352-B0BE-4C4D-81DA-CD0C111DEBBD,25.769070771661188,27.222421779638488,0.0,19.14350000000002,1.1096599190283405,1.210355329949239,0.0,0.71292,619.0,449.0,0.0,170.0,378.0,310.0,0.0,68.0,2.423062741029736,2.171622349905485,0.0,0.2514403911242505,11.865793780687396
ecodriver043,84693547-1AC9-4C7A-855A-AF2E7F566A4E,23.18362928894387,22.31025803835633,0.0,31.22709677419353,1.504686309136537,1.4892891327594973,0.0,1.6216216216216215,868.0,724.0,0.0,144.0,633.0,571.0,0.0,62.0,4.088638939736189,3.543603983038362,0.0,0.5450349566978276,10.660018993352327
ecodriver043,A54E3554-63C7-4F9E-91BB-9F56C46A1AD4,28.742631578947385,28.742631578947385,0.0,0.0,1.4950000000000003,1.4950000000000003,0.0,0.0,575.0,469.0,0.0,106.0,228.0,228.0,0.0,0.0,1.879067401407977,1.879067401407977,0.0,0.0,9.929078014184398
