count;frame;lane;on_the_fly;over;Veh_ TypeM;Vm;Veh_ Type1;Veh_RL;V1;Veh_ Type0;Veh_ Type2;Veh_ Type3;platoon;sum_ platoon;d0;d1;d2;d3;opening;s_x;s_y;distancexy;V2;V3;helmet;passenger;dif;ttc;ttcc
139;22754;1;1;0;0;68;1;0;77;0;0;1;0;0;255;255;21.2;1.8;21.3;2.3;6.5;6.9;0;78;1;0;-9;-1.322222222;0
140;23940;0;1;0;0;74;1;0;65;0;0;0;1;2;255;255;255;255;360.6;1.8;11.3;11.4;0;0;0;0;9;1.822222222;1.822222222
141;24015;0;1;1;0;76;2;1;62;1;1;0;0;0;28;255;255;255;360.6;1.8;2.1;2.8;69;0;1;1;14;0.557142857;0.557142857
142;24465;0;1;0;0;83;1;1;78;0;0;0;0;0;255;255;255;255;360.6;1.3;7.8;7.9;0;0;1;0;5;2.58;2.58
143;24590;0;0;1;1;99;2;1;80;0;0;1;0;0;255;255;6.4;2.2;6.8;2.4;4.7;5.3;0;95;1;0;19;0.542105263;0.542105263
144;25165;1;0;0;0;59;1;1;56;2;1;1;1;2;57.9;25.7;255;1.4;255;0.4;10.8;10.8;64;66;1;0;3;5.266666667;5.266666667
145;25940;0;0;0;0;95;2;0;87;0;0;1;0;0;255;255;7.4;2;7.7;1.4;1;1.7;0;83;1;0;8;0.8375;0.8375
146;27490;0;0;1;1;130;1;0;100;4;2;0;0;0;51;255;255;255;360.6;0.9;7.7;7.8;85;0;1;0;30;0.426666667;0.426666667
147;27715;0;0;1;1;103;1;1;69;2;1;1;0;0;26.7;22.3;255;1.4;255;0.9;5.1;5.2;79;75;1;0;34;0.3;0.3
148;27790;1;0;0;0;76;1;1;75;0;1;1;1;2;26.8;21.5;2.9;1.4;3.2;0.3;9.9;9.9;85;86;1;0;1;14.9;14.9
149;28840;0;1;1;0;85;1;1;64;1;0;1;0;0;16.3;49.9;30.4;0.7;30.4;2.6;3.3;4.2;70;67;1;0;21;0.438095238;0.438095238
150;28965;0;1;1;0;93;1;0;69;1;0;2;0;0;18.8;255;18.1;1.5;18.2;2.3;5.5;6;0;89;1;0;24;0.458333333;0.458333333
151;29949;1;0;1;1;78;1;1;60;1;0;0;0;0;61.5;255;255;255;360.6;2.1;13.2;13.4;62;0;1;0;18;1.022222222;1.022222222
152;155;0;1;1;1;158;2;1;83;0;0;0;0;0;255;255;255;255;360.6;2.7;19;19.2;0;0;1;0;75;0.322666667;0.322666667
153;580;1;1;0;0;93;1;0;89;1;0;2;0;0;21.5;255;40.6;2.1;40.7;3.4;4;5.2;0;75;1;0;4;2.55;2.55
154;755;1;1;0;0;95;1;0;89;0;0;3;0;0;255;255;4.9;1.2;5;2.6;11.4;11.7;0;95;1;0;6;2.783333333;2.783333333
155;1130;1;1;0;0;69;1;0;63;1;1;1;0;0;16.7;38.5;17.1;1.4;17.2;3.2;6.7;7.4;69;70;1;0;6;2.066666667;2.066666667
156;3380;0;1;0;0;98;2;1;87;0;0;0;0;0;255;255;255;255;360.6;2.7;14.5;14.7;0;0;1;0;11;1.790909091;1.790909091
157;3580;1;1;0;0;78;1;0;74;1;0;0;0;0;29.4;255;255;255;360.6;3;12.8;13.1;0;0;1;0;4;4.525;4.525
158;3599;1;1;0;0;78;1;0;75;0;0;2;0;0;255;255;12.8;2.3;13;2.4;3;3.8;0;78;1;0;3;2.933333333;2.933333333
159;3599;1;0;1;1;115;2;1;78;0;1;1;0;0;255;35.5;9.8;0.5;9.8;1;3.8;3.9;70;80;1;0;37;0.240540541;0.240540541
160;3649;1;1;1;0;98;1;0;73;0;0;2;0;0;255;255;9.6;2.8;10;2.2;5;5.5;0;58;0;0;25;0.42;0.42
161;4774;1;0;0;0;83;1;1;76;0;0;1;0;0;255;255;16.1;0.8;16.1;0.2;11.6;11.6;0;84;0;0;7;2.371428571;2.371428571
162;6074;1;1;0;0;69;1;0;63;0;0;1;0;0;255;255;5.1;1.7;5.4;2.6;6.9;7.4;0;77;1;0;6;2.066666667;2.066666667
163;6300;1;1;1;1;100;1;0;76;1;0;2;0;0;25.3;255;23.4;1.8;23.5;2.8;1.1;3;0;109;1;0;24;0.333333333;0.333333333
164;6500;0;1;1;1;100;2;1;85;0;0;0;0;0;255;255;255;255;360.6;2.3;7.2;7.6;0;0;1;0;15;0.84;0.84
165;6600;1;0;1;0;68;2;1;54;1;0;0;0;0;16.6;255;255;255;360.6;2.2;2.7;3.5;0;0;1;0;14;0.607142857;0.607142857
166;6725;0;1;0;0;83;1;1;65;1;0;1;0;0;10.9;255;27.2;1.1;27.2;2;5.6;5.9;0;79;1;0;18;0.605555556;0.605555556
167;7075;1;0;0;1;68;1;1;65;0;1;0;0;0;255;255;255;255;360.6;0.8;9.4;9.4;69;0;1;0;3;4.8;4.8
